# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	5927
#@/user_id	mac
a 	啊	c=58 d=5.96503 t=5927
yi ban ben 	一版本	c=1 d=0.375311 t=5927
yi bei 	一杯	c=1 d=0.283654 t=5927
yi bian 	一遍	c=2 d=0.000914768 t=5927
yi bian 	一邊	c=1 d=0.390628 t=5927
yi bo 	一波	c=1 d=0.000558643 t=5927
yi bu 	一步	c=1 d=0.116484 t=5927
yi ceng 	一層	c=2 d=0.169177 t=5927
yi chang 	異常	c=2 d=0.959023 t=5927
yi ci 	一次	c=6 d=1.08784 t=5927
yi ci 	依次	c=1 d=0.000241172 t=5927
yi dao 	一道	c=0 d=0.0499074 t=5927
yi dian 	一點	c=1 d=0.524663 t=5927
yi dong dao 	移動到	c=1 d=0.729789 t=5927
yi dui 	一堆	c=2 d=0.88822 t=5927
yi fen 	一份	c=1 d=0.46155 t=5927
yi ge 	一個	c=12 d=1.168 t=5927
yi huo 	疑惑	c=0 d=0.00972957 t=5927
yi ji 	以及	c=3 d=0.00012905 t=5927
yi jian 	意見	c=0 d=0.045612 t=5927
yi jing 	已經	c=5 d=1.06971 t=5927
yi jing you 	已經有	c=0 d=0.0965605 t=5927
yi jing you le 	已經有了	c=1 d=0.970446 t=5927
yi ju 	依據	c=1 d=0.000155324 t=5927
yi kan 	一看	c=1 d=0.00219846 t=5927
yi lai 	依賴	c=1 d=0.733447 t=5927
yi pi 	一批	c=1 d=0.000569928 t=5927
yi qi 	一起	c=5 d=1.09895 t=5927
yi quan 	一泉	c=0 d=0.00295994 t=5927
yi shou 	一手	c=1 d=0.391584 t=5927
yi si 	意思	c=1 d=0.0211189 t=5927
yi si yi xia 	意思一下	c=1 d=0.212248 t=5927
yi xia 	一下	c=18 d=1.66363 t=5927
yi xia ma 	一下嗎	c=2 d=1.3908 t=5927
yi xie 	一些	c=12 d=2.79684 t=5927
yi xie shu ju 	一些數據	c=1 d=1 t=5678
yi yang 	一樣	c=3 d=0.974229 t=5927
yi yang ban 	一樣般	c=0 d=0.0109154 t=5927
yi yang ban ba 	一樣般吧	c=1 d=0.109701 t=5927
yi yang de 	一樣的	c=2 d=1.13527 t=5927
yi yi 	意義	c=1 d=0.951229 t=5927
yi yuan 	醫院	c=1 d=1 t=5852
yi zhang 	一張	c=1 d=0.522046 t=5927
yi zhi 	一直	c=3 d=0.284071 t=5927
yi zhi 	一致	c=3 d=0.697676 t=5927
yi zhi 	已知	c=1 d=0.00680566 t=5927
yi zhi xing 	一致性	c=1 d=6.37845e-05 t=5927
yi zhong 	一中	c=2 d=0.614506 t=5927
yi zhong 	一種	c=1 d=0.514274 t=5927
yin qing 	引擎	c=1 d=0.680451 t=5927
yin ru 	引入	c=1 d=0.0961412 t=5927
yin wei 	因爲	c=3 d=0.359239 t=5927
yin wei du te de 	因爲獨特的	c=1 d=0.522046 t=5927
yin yong 	引用	c=2 d=0.570043 t=5927
ying 	應	c=0 d=0.0477114 t=5927
ying ga shi 	應伽師	c=1 d=0.479505 t=5927
ying gai 	應該	c=17 d=1.46172 t=5927
ying gai shi 	應該是	c=13 d=1.46528 t=5927
ying she 	映射	c=3 d=0.390652 t=5927
ying wen 	英文	c=1 d=0.697676 t=5927
ying xi 	影襲	c=0 d=0.00682212 t=5927
ying xi na ge 	影襲那個	c=1 d=0.0685632 t=5927
ying xiang 	影響	c=1 d=0.0689068 t=5927
ying yu 	英語	c=1 d=0.970446 t=5927
yong 	用	c=11 d=0.935978 t=5927
yong an 	永安	c=0 d=0.00566989 t=5927
yong de 	永德	c=1 d=0.000387808 t=5927
yong guo 	用過	c=2 d=1.59714 t=5927
yong hu 	用戶	c=3 d=0.985112 t=5927
yong le 	永乐	c=0 d=0.0479505 t=5927
yong ma 	用嗎	c=1 d=0.0572688 t=5927
yong tong 	用同	c=1 d=0.0500366 t=5927
yong yi 	用以	c=0 d=0.0715338 t=5927
yong yi zhao ming 	用以照明	c=1 d=0.718924 t=5927
yong yong 	用用	c=1 d=0.621885 t=5927
yong yu 	用於	c=11 d=7.58743 t=5927
you 	又	c=1 d=0.286505 t=5927
you 	有	c=18 d=1.24146 t=5927
you 	由	c=3 d=0.0932097 t=5927
you ban fa 	有辦法	c=1 d=0.0257325 t=5927
you bian hua 	有變化	c=1 d=0.00067217 t=5927
you da dian 	有打點	c=1 d=0.0518189 t=5927
you de 	有的	c=6 d=0.12089 t=5927
you de ma 	有的嗎	c=1 d=0.946485 t=5927
you de ti 	有的踢	c=1 d=0.748264 t=5927
you deng 	油燈	c=1 d=0.71177 t=5927
you dian 	有點	c=2 d=0.148823 t=5927
you dong xi 	有東西	c=1 d=0.261846 t=5927
you du 	有毒	c=0 d=0.0744532 t=5927
you duo ge 	有多個	c=1 d=0.57695 t=5927
you gai le 	又改了	c=1 d=0.373439 t=5927
you ge 	有個	c=4 d=0.303196 t=5927
you hua 	優化	c=13 d=1.33402 t=5927
you hua 	游化	c=1 d=0.657047 t=5927
you hui 	幽會	c=1 d=0.286505 t=5927
you jiao qiang 	有較強	c=1 d=0.235746 t=5927
you kong 	有空	c=1 d=0.00346515 t=5927
you le 	有了	c=1 d=0.985112 t=5927
you li yu 	有利於	c=2 d=0.29622 t=5927
you ma 	有嗎	c=2 d=0.460704 t=5927
you ma 	油麻	c=1 d=0.458406 t=5927
you mei you 	有沒有	c=3 d=0.56836 t=5927
you ran zi de 	悠然自得	c=1 d=0.603506 t=5927
you sha 	有啥	c=1 d=0.0269557 t=5927
you sha yong 	有啥用	c=1 d=0.10435 t=5927
you shi 	優勢	c=1 d=0.527292 t=5927
you shi yan de 	有實驗的	c=1 d=0.00130051 t=5927
you suo 	有所	c=3 d=0.426144 t=5927
you wen ti 	有問題	c=5 d=1.209 t=5927
you xi 	由希	c=1 d=0.38868 t=5927
you xi 	遊戲	c=1 d=0.390628 t=5927
you xian 	有限	c=1 d=0.0578443 t=5927
you xiao 	有效	c=9 d=0.30103 t=5927
you xie 	有些	c=1 d=0.472367 t=5927
you ying xiang 	有影響	c=0 d=0.0546074 t=5927
you ying xiang ma 	有影響嗎	c=1 d=0.548812 t=5927
you yu 	由於	c=10 d=2.49112 t=5927
you yu gu 	有預估	c=1 d=0.362402 t=5927
you zhang 	有張	c=1 d=0.101774 t=5927
yu 	於	c=4 d=1.58164 t=5927
yu 	與	c=4 d=0.469377 t=5927
yu chu li 	預處理	c=2 d=0.698761 t=5927
yu fa 	語法	c=2 d=0.970446 t=5927
yu ge 	雨哥	c=1 d=0.0466538 t=5927
yu gu 	預估	c=3 d=0.254063 t=5927
yu ji 	于吉	c=1 d=0.00653881 t=5927
yu ji 	預計	c=4 d=0.433049 t=5927
yu ju 	語句	c=3 d=0.621885 t=5927
yu min 	漁民	c=1 d=0.597501 t=5927
yu ping 	宇平	c=1 d=0.104874 t=5927
yu ping 	玉屏	c=1 d=0.103312 t=5927
yuan 	源	c=5 d=1.42535 t=5927
yuan ben 	原本	c=2 d=0.927743 t=5927
yuan duan 	遠端	c=4 d=0.623585 t=5927
yuan gu 	遠古	c=0 d=0.0379083 t=5927
yuan lai 	原來	c=1 d=0.442639 t=5927
yuan lai ni 	原來你	c=1 d=0.0982736 t=5927
yuan li 	原理	c=1 d=0.594521 t=5927
yuan yin 	原因	c=1 d=0.0001441 t=5927
yuan zi 	原子	c=1 d=0.477114 t=5927
yuan zi xing 	原子性	c=3 d=0.829052 t=5927
yue 	約	c=2 d=1.97531 t=5891
yue du 	閱讀	c=2 d=0.0746943 t=5927
yue le 	約了	c=0 d=0.1 t=5880
yue le ma 	約了嗎	c=1 d=1 t=5881
yun long 	雲龍	c=1 d=0.551563 t=5927
za 	咋	c=0 d=0.0794534 t=5927
za le 	咋了	c=1 d=0.271173 t=5927
za sheng cheng 	咋生成	c=1 d=0.798516 t=5927
za zheng 	咋整	c=1 d=0.778801 t=5927
zai 	再	c=12 d=0.342626 t=5927
zai 	在	c=16 d=1.44871 t=5927
zai dian 	再點	c=0 d=0.0647265 t=5927
zai dian yi xia 	再點一下	c=1 d=0.650509 t=5927
zai hou xu 	再後續	c=1 d=0.000228266 t=5927
zai hua xiang 	再畫像	c=1 d=3.02807e-05 t=5927
zai ji suan 	再計算	c=1 d=0.00113627 t=5927
zai kan 	再看	c=0 d=0.0484325 t=5927
zai kan le 	再看了	c=1 d=0.486752 t=5927
zai li mian 	在裡面	c=2 d=0.745089 t=5927
zai ren 	在人	c=1 d=0.16696 t=5927
zai ru 	載入	c=1 d=0.802519 t=5927
zai shi shi 	再試試	c=1 d=0.244143 t=5927
zai xian 	在線	c=3 d=1.1178 t=5927
zai xian da zi 	在線打字	c=4 d=1.99501 t=5927
zai xian ren shu 	在線人數	c=2 d=0.220356 t=5927
zai zhe 	在這	c=2 d=0.55253 t=5927
zan shi 	暫時	c=2 d=0.194958 t=5927
zao chu 	鑿出	c=1 d=0.701173 t=5927
zao hui 	早會	c=1 d=0.810584 t=5927
zao zhi dao 	早知道	c=5 d=0.534205 t=5927
zei bang 	賊棒	c=1 d=1 t=5873
zen me 	怎麼	c=9 d=1.30871 t=5927
zen me ban 	怎麼辦	c=1 d=0.767206 t=5927
zeng da 	增大	c=0 d=0.000562801 t=5927
zeng da le 	增大了	c=1 d=0.00565622 t=5927
zeng duo 	增多	c=1 d=0.00852289 t=5927
zeng jia 	增加	c=3 d=0.576088 t=5927
zeng jia ai 	增加愛	c=1 d=0.83527 t=5927
zeng jia le 	增加了	c=1 d=0.0898153 t=5927
zeng liang 	增量	c=1 d=3.34653e-05 t=5927
zhan shi 	展示	c=6 d=3.45215 t=5927
zhang 	張	c=1 d=0.810584 t=5927
zhang 	漲	c=1 d=0.254107 t=5927
zhang dou 	長痘	c=1 d=0.451581 t=5927
zhang hao 	帳號	c=1 d=0.283654 t=5927
zhang hao 	張皓	c=1 d=0.282239 t=5927
zhang wo 	掌握	c=1 d=0.908828 t=5927
zhang wo du 	掌握度	c=27 d=6.70291 t=5927
zhang wo du 	掌握都	c=2 d=1.39498 t=5927
zhang wo du zhi 	掌握度值	c=1 d=0.621885 t=5927
zhang wo fu 	掌握副	c=1 d=0.718924 t=5927
zhao 	找	c=3 d=1.40595 t=5927
zhao 	罩	c=1 d=0.726149 t=5927
zhao bu dao 	找不到	c=1 d=0.289384 t=5927
zhao de 	找的	c=1 d=0.00188279 t=5927
zhao hui 	召会	c=0 d=0.0697676 t=5927
zhao hui 	召回	c=14 d=0.744532 t=5927
zhao hui zheng pai 	召会正排	c=1 d=0.701173 t=5927
zhao ming 	照明	c=1 d=0.693419 t=5927
zhao zhao 	找找	c=0 d=0.0687289 t=5927
zhao zhao ba 	找找吧	c=1 d=0.690734 t=5927
zhe 	着	c=2 d=0.219896 t=5927
zhe 	這	c=2 d=0.552642 t=5927
zhe bian 	這邊	c=1 d=0.0319051 t=5927
zhe bian shi 	這便是	c=1 d=0.650509 t=5927
zhe bu 	這不	c=0 d=0.0194952 t=5927
zhe bu 	這部	c=1 d=0.0543022 t=5927
zhe bu dui ba 	這不對吧	c=1 d=0.19593 t=5927
zhe bu fen 	這部分	c=1 d=0.00416933 t=5927
zhe bu hui shi 	這不會是	c=1 d=0.637628 t=5927
zhe bu rang 	這部讓	c=1 d=0.225373 t=5927
zhe bu shi 	這不是	c=1 d=0.989011 t=5927
zhe bu shi hen jian dan ma 	這不是很簡單嗎	c=1 d=0.960789 t=5927
zhe ceng 	這層	c=1 d=0.103312 t=5927
zhe ci 	這次	c=12 d=1.373 t=5927
zhe fan 	這番	c=0 d=0.0053397 t=5927
zhe ge 	這個	c=71 d=5.34624 t=5927
zhe ge ren 	這個人	c=1 d=0.000305061 t=5927
zhe ge shi 	這個事	c=2 d=0.500653 t=5927
zhe hua 	這話	c=0 d=0.0382893 t=5927
zhe hua ge 	這話個	c=3 d=0.773492 t=5927
zhe kuai 	這塊	c=0 d=0.0565525 t=5927
zhe lei 	這類	c=1 d=0.250324 t=5927
zhe li 	這裏	c=1 d=0.00224287 t=5927
zhe liang ge 	這兩個	c=3 d=0.910371 t=5927
zhe qi 	這期	c=1 d=0.151072 t=5927
zhe shi 	這是	c=4 d=0.501576 t=5927
zhe shi jian 	這時間	c=1 d=0.423162 t=5927
zhe ti 	摺梯	c=1 d=0.0195457 t=5927
zhe tiao 	這條	c=0 d=0.0323033 t=5927
zhe wan yi 	這玩意	c=2 d=0.948739 t=5927
zhe wan yi le ma 	這玩意了嗎	c=1 d=0.0544757 t=5927
zhe xie 	這些	c=2 d=0.956802 t=5927
zhe yang 	這樣	c=5 d=0.876994 t=5927
zhe yin ru le 	這引入了	c=1 d=0.0858632 t=5927
zhe zai 	這在	c=1 d=0.0753961 t=5927
zhe zhang 	這張	c=0 d=0.0802519 t=5927
zhe zhang biao 	這張表	c=2 d=0.908976 t=5927
zhe zhong 	這種	c=3 d=0.790571 t=5927
zhe zhou 	這週	c=1 d=1 t=5621
zhen 	真	c=2 d=0.0472367 t=5927
zhen can 	真慘	c=1 d=0.254107 t=5927
zhen de 	真的	c=1 d=0.588605 t=5927
zhen duan 	診斷	c=6 d=1.81937 t=5927
zhen dui 	針對	c=2 d=0.0303292 t=5927
zhen dui xing 	針對性	c=1 d=0.15259 t=5927
zhen kai shi 	真開始	c=1 d=0.474734 t=5927
zhen meng 	真夢	c=1 d=2.27715e-05 t=5927
zhen meng a 	真猛啊	c=2 d=1.27943 t=5927
zheng chan 	正產	c=1 d=8.39743e-05 t=5927
zheng chang 	正常	c=4 d=0.74885 t=5927
zheng ge 	整個	c=1 d=0.955997 t=5927
zheng pai 	正排	c=7 d=2.34269 t=5927
zheng pai 	正派	c=1 d=0.748264 t=5927
zheng que lv 	正確率	c=8 d=0.613348 t=5927
zheng que xing 	正確性	c=3 d=7.32176e-05 t=5927
zheng ti 	整體	c=4 d=0.189462 t=5927
zhi 	值	c=7 d=2.05784 t=5927
zhi 	只	c=1 d=0.0380951 t=5927
zhi cha xun 	只查詢	c=1 d=0.00568457 t=5927
zhi chi 	支持	c=10 d=1.78765 t=5927
zhi dao 	知道	c=0 d=0.0187308 t=5927
zhi dao a 	知道啊	c=1 d=0.965605 t=5927
zhi dao le 	知道了	c=0 d=0.0891366 t=5927
zhi de 	指的	c=3 d=0.895834 t=5927
zhi ding 	制定	c=1 d=0.865022 t=5927
zhi ding 	指定	c=3 d=0.949983 t=5927
zhi hou 	之後	c=6 d=0.240808 t=5927
zhi hu 	支護	c=1 d=0.477114 t=5927
zhi hu 	知乎	c=2 d=0.968698 t=5927
zhi ji suan 	只計算	c=1 d=0.0366992 t=5927
zhi jian 	之間	c=2 d=0.0706512 t=5927
zhi jie 	直接	c=20 d=2.35551 t=5927
zhi jing 	直經	c=1 d=0.066205 t=5927
zhi lei 	之類	c=1 d=0.527292 t=5927
zhi liang 	質量	c=1 d=0.790571 t=5927
zhi neng 	只能	c=2 d=0.56836 t=5927
zhi neng 	智能	c=4 d=0.233314 t=5927
zhi qian 	之前	c=19 d=2.10898 t=5927
zhi qian de 	之前的	c=1 d=0.354876 t=5927
zhi qian shi 	之前是	c=1 d=0.00139481 t=5927
zhi shao 	至少	c=1 d=0.0483156 t=5927
zhi shi 	只是	c=1 d=0.000185029 t=5927
zhi shi dian 	知識點	c=6 d=1.0844 t=5927
zhi sun 	止損	c=1 d=1 t=5877
zhi xin 	置信	c=0 d=0.0625002 t=5927
zhi xin du 	置信度	c=1 d=0.628135 t=5927
zhi xing 	執行	c=2 d=0.904837 t=5927
zhi xing bao cuo 	執行報錯	c=1 d=0.0116786 t=5927
zhi xing de 	執行的	c=1 d=0.856415 t=5927
zhi xu yao 	只需要	c=1 d=0.000188766 t=5927
zhi yan 	知言	c=0 d=0.0980199 t=5927
zhi yao 	只要	c=1 d=0.221721 t=5927
zhi you 	只有	c=2 d=0.438235 t=5927
zhi ze 	職責	c=1 d=0.147342 t=5927
zhi zuo 	製作	c=2 d=1.20224 t=5927
zhong 	中	c=1 d=0.0873716 t=5927
zhong 	種	c=1 d=0.158036 t=5927
zhong de 	中的	c=1 d=0.0478349 t=5927
zhong duan 	終端	c=1 d=0.847894 t=5927
zhong guo bei fang 	中國北方	c=1 d=0.506617 t=5927
zhong hua xiao zi 	中華小子	c=1 d=0.369723 t=5927
zhong jian 	中間	c=6 d=0.0720785 t=5927
zhong jian ceng 	中間層	c=1 d=0.0850088 t=5927
zhong tai 	中台	c=11 d=2.35292 t=5927
zhong tai de 	中台的	c=1 d=0.499074 t=5927
zhong wen 	中文	c=1 d=0.603506 t=5927
zhong yao 	重要	c=1 d=1 t=5860
zhou 	周	c=1 d=1 t=5646
zhou lei 	周蕾	c=1 d=0.557106 t=5927
zhou wu 	週五	c=1 d=1 t=5910
zhou yi 	週一	c=1 d=1 t=5908
zhu 	祝	c=0 d=0.056836 t=5927
zhu cong 	主叢	c=1 d=1.86437e-05 t=5927
zhu cong 	主從	c=2 d=3.78529e-05 t=5927
zhu jian 	主鍵	c=1 d=0.571209 t=5927
zhu ru 	注入	c=7 d=0.21484 t=5927
zhu ru dao 	注入到	c=1 d=0.0194482 t=5927
zhu shi 	註釋	c=2 d=1.03863 t=5927
zhu shi zhong 	註釋中	c=1 d=0.878095 t=5927
zhu ta men 	祝他們	c=1 d=0.571209 t=5927
zhu yao 	主要	c=4 d=0.35249 t=5927
zhu yao de 	主要的	c=1 d=0.358796 t=5927
zhu yao shi 	主要是	c=1 d=0.174645 t=5927
zhua 	抓	c=0 d=0.0276651 t=5927
zhua le ba 	抓了吧	c=1 d=0.278037 t=5927
zhua qu 	抓取	c=1 d=0.265803 t=5927
zhuan 	轉	c=2 d=1.40597 t=5927
zhuan huan 	轉換	c=3 d=0.345969 t=5927
zhuan huan 	轉環	c=2 d=0.296989 t=5927
zhuan huo 	轉活	c=1 d=0.173774 t=5927
zhuang tai 	狀態	c=4 d=1.16333 t=5927
zhuang tai lan 	狀態欄	c=1 d=0.594521 t=5927
zhun que xing 	準確性	c=1 d=8.19009e-05 t=5927
zi 	子	c=1 d=0.0769192 t=5927
zi ce 	自測	c=2 d=0.740818 t=5927
zi cha 	自差	c=1 d=0.0430669 t=5927
zi chan 	資產	c=2 d=0.826959 t=5927
zi din yi 	子𨈖以	c=1 d=0.060205 t=5927
zi ding yi 	自定義	c=5 d=0.119093 t=5927
zi dong 	自動	c=22 d=11.0096 t=5927
zi dong bu quan 	自動補全	c=1 d=0.0614212 t=5927
zi duan 	子段	c=0 d=0.0869358 t=5927
zi duan 	字段	c=9 d=1.55208 t=5927
zi duan ma 	子段嗎	c=1 d=0.873716 t=5927
zi fu 	字符	c=2 d=1.85558 t=5927
zi fu chuan 	字符串	c=4 d=1.06245 t=5927
zi ji 	子基	c=1 d=0.489192 t=5927
zi ji 	自己	c=9 d=3.18151 t=5927
zi shi ying 	自適應	c=1 d=0.0776922 t=5927
zi ti 	子題	c=10 d=1.18657 t=5927
zi xin 	自信	c=0 d=0.1 t=5838
zi yan 	子彥	c=1 d=0.131336 t=5927
zi you 	自有	c=1 d=0.955997 t=5927
zi you 	自由	c=0 d=0.0955997 t=5927
zi you jing 	自由鯨	c=1 d=0.960789 t=5927
zi yuan 	子元	c=1 d=0.759572 t=5927
zi yuan 	資源	c=1 d=0.444858 t=5927
zong 	總	c=1 d=0.00124328 t=5927
zong bu neng 	總不能	c=1 d=0.272532 t=5927
zong de 	總的	c=1 d=0.0136366 t=5927
zong hui 	總會	c=0 d=0.0579842 t=5927
zong hui kan dao 	總會看到	c=1 d=0.582748 t=5927
zou 	走	c=0 d=0.0131994 t=5927
zou de 	走的	c=1 d=0.56836 t=5927
zou zi ti 	走子題	c=2 d=0.278531 t=5927
zu jian 	組件	c=0 d=0.00536647 t=5927
zu jian hua 	組件化	c=1 d=0.0539337 t=5927
zu se 	阻塞	c=1 d=7.9084e-05 t=5927
zu tuan 	組團	c=1 d=1 t=5817
zu zhuang 	組裝	c=1 d=0.733447 t=5927
zui 	最	c=0 d=0.00015415 t=5927
zui di 	最低	c=1 d=0.000126534 t=5927
zui duo 	最多	c=1 d=0.351692 t=5927
zui duo shi 	最多是	c=1 d=0.000564257 t=5927
zui hao 	最好	c=2 d=1.90175 t=5758
zui hao hou 	最好後	c=1 d=1 t=5759
zui jin 	最近	c=4 d=1.14462 t=5927
zui jing 	最精	c=1 d=0.491644 t=5927
zui wai ceng 	最外層	c=2 d=0.00338552 t=5927
zui wan 	最晚	c=1 d=0.447088 t=5927
zui xin 	最新	c=4 d=0.873976 t=5927
zui you 	最優	c=0 d=0.000390694 t=5927
zui you xian 	最優先	c=1 d=0.00392653 t=5927
zui zao 	最早	c=2 d=1.19441 t=5927
zui zhong 	最終	c=1 d=0.000105163 t=5927
zui zhu yao 	最主要	c=1 d=0.000142667 t=5927
zuo 	做	c=7 d=0.540641 t=5927
zuo cheng 	做成	c=1 d=0.637628 t=5927
zuo da 	作答	c=4 d=1.6483 t=5927
zuo da 	做大	c=1 d=0.292293 t=5927
zuo da shi jian 	作答時間	c=2 d=0.590468 t=5927
zuo de 	做的	c=0 d=0.026054 t=5927
zuo ge 	做個	c=1 d=0.000480828 t=5927
zuo he bing 	做合併	c=1 d=0.522046 t=5927
zuo le 	做了	c=2 d=0.265803 t=5927
zuo ti 	做題	c=1 d=0.00122477 t=5927
zuo tian 	昨天	c=10 d=3.01994 t=5927
zuo wan 	昨晚	c=2 d=1.01683 t=5927
zuo wei 	作爲	c=1 d=0.108942 t=5927
zuo wei le 	作爲了	c=1 d=0.0972957 t=5927
zuo xiu fu 	做修復	c=1 d=0.000461975 t=5927
zuo yi ceng 	做一層	c=1 d=0.12938 t=5927
zuo yi xie 	做一些	c=2 d=1.09484 t=5927
zuo yong 	作用	c=4 d=0.631284 t=5927
zuo you 	左右	c=4 d=0.688061 t=5927
zuo you ba 	左右吧	c=1 d=0.852144 t=5927
