# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	58
#@/user_id	rime_ice
a 	啊	c=2731 d=5.96503 t=58
bi jiao hao 	比较好	c=5 d=0.519442 t=58
bi jiao hao de 	比较好的	c=1 d=1.65125e-18 t=58
bi jiao he li 	比较合理	c=1 d=7.28625e-41 t=58
bi jiao ji 	比较急	c=3 d=8.96139e-05 t=58
bi jiao jiu ma 	比较舅妈	c=1 d=2.2995e-61 t=58
bi jiao lan 	比较懒	c=1 d=0.299692 t=58
bi jiao ma fan 	比较麻烦	c=1 d=6.65708e-08 t=58
bi jiao man 	比较慢	c=3 d=6.32251e-19 t=58
bi jiao shao 	比较少	c=2 d=2.69958e-07 t=58
bi jiao xin 	比较新	c=1 d=0.000119165 t=58
bi jiao yan zhong 	比较严重	c=1 d=2.22388e-50 t=58
bi jing 	毕竟	c=21 d=0.00489275 t=58
bi kai 	避开	c=1 d=7.82946e-34 t=58
bi li 	比例	c=27 d=0.174645 t=58
bi mian 	避免	c=24 d=1.25099 t=58
bi ni 	比你	c=2 d=4.96839e-07 t=58
bi ni kuai 	比你快	c=1 d=5.03988e-28 t=58
bi po 	逼迫	c=1 d=7.96997e-08 t=58
bi qi 	比起	c=1 d=3.17392e-29 t=58
bi qi o ai ni 	比起哦爱你	c=1 d=1.09184e-63 t=58
bi ran 	必然	c=1 d=1.06018e-11 t=58
bi ru 	比如	c=30 d=0.121278 t=58
bi ru shi 	比如是	c=1 d=0.229925 t=58
bi ru shuo 	比如说	c=5 d=0.18452 t=58
bi ru wo 	比如我	c=1 d=5.8002e-34 t=58
bi sai 	比赛	c=2 d=1.18285e-05 t=58
bi shang 	比上	c=1 d=8.9611e-34 t=58
bi sheng ke 	必胜客	c=1 d=1.0165e-16 t=58
bi ta 	比她	c=2 d=5.32122e-20 t=58
bi te 	比特	c=1 d=1.08104e-05 t=58
bi tian 	必填	c=3 d=0.00673795 t=58
bi wo 	比我	c=15 d=0.0566989 t=58
bi wo da 	比我大	c=2 d=0.00162866 t=58
bi wo de 	比我的	c=1 d=6.24876e-28 t=58
bi wo duo 	比我多	c=1 d=8.78366e-34 t=58
bi wo hai kuai 	比我还快	c=1 d=1.13686e-09 t=58
bi wo men 	比我们	c=3 d=1.84802e-19 t=58
bi xiu 	必修	c=1 d=1.66521e-26 t=58
bi xiu 	比修	c=0 d=1.37329e-27 t=58
bi xiu er 	必修二	c=1 d=1.40104e-26 t=58
bi xiu er 	必修而	c=1 d=1.39405e-26 t=58
bi xiu er 	比修二	c=1 d=1.38018e-26 t=58
bi xu 	必须	c=19 d=0.117275 t=58
bi xu shi 	必须是	c=1 d=2.16234e-14 t=58
bi xu yao 	必须要	c=1 d=1.19263e-43 t=58
bi yao 	必要	c=27 d=0.559898 t=58
bi yao de 	必要的	c=1 d=1.01785e-61 t=58
bi yao xing 	必要性	c=1 d=0.317163 t=58
bi ye 	毕业	c=3 d=0.000122182 t=58
bi ye sheng 	毕业生	c=1 d=2.61935e-05 t=58
bi ye yu 	毕业于	c=0 d=1.25903e-05 t=58
bi yi ge 	比一个	c=1 d=2.25641e-15 t=58
bi ying 	必应	c=3 d=7.42635e-06 t=58
bi yuan 	闭园	c=1 d=2.00576e-12 t=58
bi zhe bian 	比这边	c=2 d=1.51798e-28 t=58
bi zhe ge 	比这个	c=3 d=1.07193e-23 t=58
bi zhi 	壁纸	c=3 d=9.35762e-14 t=58
bi zhi 	比值	c=8 d=9.54666e-14 t=58
bi zhi qian 	比之前	c=2 d=1.87372e-05 t=58
bi zi 	鼻子	c=2 d=1.209e-27 t=58
bi zuo tian 	比昨天	c=1 d=9.29927e-58 t=58
bian 	便	c=0 d=2.45451e-06 t=58
bian 	变	c=23 d=0.436049 t=58
bian 	边	c=34 d=0.882497 t=58
bian 	遍	c=1 d=5.26468e-13 t=58
bian bu liao 	变不了	c=2 d=1.22782e-23 t=58
bian ce 	边测	c=1 d=7.74628e-26 t=58
bian cha 	变差	c=1 d=1.23679e-59 t=58
bian chang 	变长	c=2 d=0.00138866 t=58
bian chang 	边长	c=1 d=0.00013776 t=58
bian cheng 	变成	c=49 d=0.240547 t=58
bian cheng 	编程	c=11 d=0.052965 t=58
bian cheng lu 	边城路	c=1 d=3.12667e-29 t=58
bian da 	变大	c=2 d=2.39757e-23 t=58
bian da le 	变大了	c=1 d=2.02971e-34 t=58
bian de 	变得	c=3 d=6.75539e-05 t=58
bian dong 	变动	c=6 d=6.09778e-05 t=58
bian duan 	变短	c=1 d=4.13417e-21 t=58
bian duan le 	变短了	c=1 d=2.35698e-28 t=58
bian feng 	边锋	c=2 d=0.201897 t=58
bian fu za 	变复杂	c=1 d=0.090718 t=58
bian geng 	变更	c=44 d=2.8135 t=58
bian geng le 	变更了	c=1 d=4.59906e-10 t=58
bian geng ma 	变更吗	c=1 d=2.53572e-35 t=58
bian geng shi 	变更时	c=2 d=0.000137073 t=58
bian geng wei 	变更为	c=2 d=1.174e-81 t=58
bian gua 	变卦	c=2 d=1.8195e-28 t=58
bian hao 	编号	c=6 d=0.731266 t=58
bian hua 	变化	c=29 d=0.183599 t=58
bian hua de 	变化的	c=1 d=7.23512e-17 t=58
bian huan 	变换	c=2 d=1.3172e-06 t=58
bian huang 	变黄	c=1 d=0.494109 t=58
bian huo 	变活	c=1 d=0.182684 t=58
bian ji 	编辑	c=14 d=1.01335 t=58
bian ji guo 	编辑过	c=1 d=5.17082e-65 t=58
bian ji qi 	编辑器	c=2 d=0.00584608 t=58
bian jian 	边见	c=1 d=0.433874 t=58
bian jie 	便捷	c=10 d=0.436049 t=58
bian jie 	边界	c=3 d=2.45451e-05 t=58
bian jing 	汴京	c=1 d=0.937067 t=58
bian kai hui 	边开会	c=1 d=3.58419e-18 t=58
bian kuai 	变快	c=2 d=4.88428e-12 t=58
bian le 	变了	c=17 d=0.524663 t=58
bian le 	编了	c=6 d=0.943154 t=58
bian li 	便利	c=1 d=0.0308819 t=58
bian li 	遍历	c=12 d=3.11455e-05 t=58
bian li de 	便利的	c=1 d=0.310367 t=58
bian li de 	遍历的	c=1 d=2.39342e-32 t=58
bian liang 	变量	c=79 d=1.64061 t=58
bian liang ming 	变量名	c=10 d=4.72688e-09 t=58
bian ling 	变灵	c=2 d=6.84432e-59 t=58
bian lun 	辩论	c=1 d=5.49279e-11 t=58
bian ma 	编码	c=38 d=0.092089 t=58
bian ma 	边马	c=1 d=9.99798e-28 t=58
bian ma hou 	编码后	c=1 d=7.0661e-33 t=58
bian mai 	变卖	c=1 d=1.80989e-09 t=58
bian mo yu 	边摸鱼	c=1 d=2.38278e-09 t=58
bian pai 	编排	c=27 d=0.000583769 t=58
bian pao 	鞭炮	c=1 d=2.22268e-73 t=58
bian piao 	变票	c=1 d=4.31931e-07 t=58
bian ping 	扁平	c=1 d=0.298197 t=58
bian ping you 	扁平疣	c=1 d=0.293758 t=58
bian sha 	编啥	c=1 d=4.61803e-29 t=58
bian shang 	边上	c=13 d=0.0109436 t=58
bian shang de 	边上的	c=1 d=0.000254808 t=58
bian shao 	变少	c=3 d=2.93908e-07 t=58
bian shen 	变身	c=1 d=1.64245e-14 t=58
bian shi 	便是	c=0 d=0.0647265 t=58
bian tai 	变态	c=5 d=0.00283702 t=58
bian tai de 	变态的	c=1 d=1.2239e-24 t=58
bian ting 	边挺	c=1 d=7.78511e-26 t=58
bian wei 	变为	c=6 d=0.159595 t=58
bian wei 	变味	c=1 d=0.308819 t=58
bian wei 	边伟	c=1 d=0.449329 t=58
bian wei le 	变为了	c=1 d=0.451581 t=58
bian xiang 	变向	c=1 d=7.39109e-62 t=58
bian xiang 	变相	c=2 d=7.06106e-54 t=58
bian xiao le 	变小了	c=1 d=0.0137736 t=58
bian xie 	编写	c=22 d=0.350067 t=58
bian xie zhe 	编写者	c=1 d=5.07394e-19 t=58
bian yi 	便宜	c=2 d=0.104874 t=58
bian yi 	编译	c=41 d=0.105399 t=58
bian yi cheng 	编译成	c=1 d=9.07922e-41 t=58
bian yi hou 	编译后	c=1 d=1.9609e-40 t=58
bian yi qi 	编译期	c=5 d=0.0137477 t=58
bian yi xia 	变一下	c=2 d=5.96364e-08 t=58
bian you 	便有	c=0 d=0.0744532 t=58
bian you le 	便有了	c=1 d=0.748264 t=58
bian yu 	便于	c=37 d=0.348286 t=58
biao 	标	c=4 d=0.0013912 t=58
biao 	表	c=88 d=1.49763 t=58
biao ba 	标靶	c=2 d=1.21031e-09 t=58
biao da 	表达	c=14 d=0.174937 t=58
biao da shi 	表达式	c=26 d=0.83527 t=58
biao de 	表的	c=3 d=2.54193e-05 t=58
biao de hua 	表的话	c=1 d=2.3692e-30 t=58
biao dian 	标点	c=1 d=7.73392e-66 t=58
biao ge 	表格	c=17 d=2.69951 t=58
biao hao 	标号	c=2 d=0.305746 t=58
biao huai si 	表坏死	c=1 d=3.02962e-11 t=58
biao ji 	标记	c=6 d=0.00339653 t=58
biao le 	标了	c=1 d=6.13148e-11 t=58
biao le 	表了	c=1 d=0.537944 t=58
biao li 	表里	c=12 d=8.98549e-06 t=58
biao liang 	标量	c=1 d=2.10243e-07 t=58
biao mian 	表面	c=1 d=7.14342e-14 t=58
biao ming 	表名	c=8 d=0.97531 t=58
biao ming 	表明	c=2 d=0.970446 t=58
biao ne 	表呢	c=1 d=0.379083 t=58
biao qian 	标签	c=207 d=4.08666 t=58
biao qian ba 	标签吧	c=1 d=2.8853e-25 t=58
biao qian de 	标签的	c=3 d=0.128093 t=58
biao qian ming 	标签名	c=2 d=3.02128e-08 t=58
biao qian shu 	标签树	c=2 d=0.112478 t=58
biao qian ye 	标签也	c=1 d=0.00546167 t=58
biao qian zhi 	标签值	c=9 d=1.04819 t=58
biao qiang 	标枪	c=1 d=1.66325e-15 t=58
biao qin 	表亲	c=0 d=4.00231e-23 t=58
biao qin a 	表亲啊	c=2 d=4.02237e-22 t=58
biao qing 	表情	c=3 d=1.69488e-15 t=58
biao qing bao 	表情包	c=2 d=2.04203e-17 t=58
biao qing bao 	表情报	c=2 d=1.40873e-21 t=58
biao qing bi 	表情比	c=1 d=5.84138e-29 t=58
biao se 	标色	c=1 d=1.2525e-31 t=58
biao shi 	标识	c=81 d=0.468415 t=58
biao shi 	表示	c=41 d=0.585669 t=58
biao shu 	表述	c=1 d=4.82632e-48 t=58
biao ti 	标题	c=12 d=0.00248602 t=58
biao xian 	表现	c=15 d=0.464371 t=58
biao xian qing kuang 	表现情况	c=1 d=0.0792617 t=58
biao xian shang 	表线上	c=1 d=3.78426e-10 t=58
biao xiao 	表小	c=1 d=5.0966e-42 t=58
biao yan 	表演	c=3 d=3.32618e-12 t=58
biao zhu 	标注	c=5 d=3.15702e-25 t=58
biao zhun 	标准	c=16 d=0.183269 t=58
bie 	别	c=11 d=0.0316637 t=58
bie 	憋	c=1 d=1.28158e-07 t=58
bie che dan le 	别扯淡了	c=1 d=1.4595e-07 t=58
bie chi le 	别吃了	c=2 d=5.24289e-22 t=58
bie chu 	别处	c=0 d=3.8249e-19 t=58
bie chu le 	别处了	c=1 d=3.84407e-18 t=58
bie de 	别的	c=124 d=0.965663 t=58
bie de ba 	别的吧	c=1 d=3.41229e-28 t=58
bie de biao 	别的表	c=1 d=2.9512e-26 t=58
bie de fu wu 	别的服务	c=1 d=4.7653e-16 t=58
bie de hui 	别的会	c=1 d=2.48898e-22 t=58
bie de le 	别的了	c=1 d=4.5861e-65 t=58
bie de ma 	别的吗	c=4 d=1.59516e-15 t=58
bie de mei le 	别的没了	c=1 d=8.57728e-19 t=58
bie de ne 	别的呢	c=3 d=3.12285e-07 t=58
bie de ren 	别的人	c=1 d=9.11232e-25 t=58
bie gao de 	别搞的	c=1 d=3.724e-27 t=58
bie guan 	别管	c=0 d=1.01039e-05 t=58
bie juan le 	别卷了	c=1 d=2.95985e-31 t=58
bie kai 	别开	c=0 d=1.7649e-08 t=58
bie kai le 	别开了	c=2 d=1.77375e-07 t=58
bie kan 	别看	c=0 d=2.21581e-67 t=58
bie kan le 	别看了	c=2 d=1.25403e-16 t=58
bie le 	别了	c=3 d=0.396531 t=58
bie le 	瘪了	c=1 d=0.394554 t=58
bie mai fang 	别买房	c=1 d=3.54648e-70 t=58
bie ming 	别名	c=7 d=6.34988e-11 t=58
bie mo yu 	别摸鱼	c=1 d=0.318224 t=58
bie qu 	别趣	c=0 d=3.32294e-11 t=58
bie qu le 	别趣了	c=1 d=3.3396e-10 t=58
bie ren 	别人	c=27 d=0.843665 t=58
bie ren de 	别人的	c=3 d=6.16012e-07 t=58
bie shang 	别上	c=1 d=0.0782705 t=58
bie shang a 	别上啊	c=1 d=0.786628 t=58
bie shi 	别是	c=6 d=1.24877e-14 t=58
bie shi lai 	别是来	c=1 d=1.32904e-23 t=58
bie shuo le 	别说了	c=2 d=1.16002e-11 t=58
bie ti 	别提	c=1 d=4.60517e-55 t=58
bie tiao le 	别调了	c=1 d=1.88728e-31 t=58
bie tu po 	别突破	c=1 d=3.50534e-21 t=58
bie xiang le 	别想了	c=2 d=7.69716e-10 t=58
bie xie le 	别写了	c=1 d=3.15981e-06 t=58
bie yong 	别用	c=2 d=4.57052e-25 t=58
bing 	冰	c=1 d=0.722527 t=58
bing 	并	c=88 d=1.43007 t=58
bing 	病	c=7 d=5.90631e-12 t=58
bing 	饼	c=1 d=7.44888e-36 t=58
bing ba 	并把	c=1 d=2.70657e-08 t=58
bing bu shi 	并不是	c=5 d=0.0515605 t=58
bing cai yong 	并采用	c=1 d=0.025223 t=58
bing can yu 	并参与	c=1 d=5.05207e-27 t=58
bing deng 	冰灯	c=4 d=2.39354 t=58
bing deng ne ge 	冰灯呢个	c=1 d=0.67032 t=58
bing dui 	并对	c=3 d=0.265824 t=58
bing dui cuo wu 	并对错误	c=1 d=2.00541e-10 t=58
bing dui qi 	并对其	c=3 d=0.00348252 t=58
bing dui qi 	并对齐	c=1 d=6.06737e-05 t=58
bing fa 	并发	c=98 d=1.84681 t=58
bing fa du 	并发度	c=14 d=0.909373 t=58
bing fan hui 	并返回	c=1 d=1.97583e-41 t=58
bing gei chu 	并给出	c=2 d=1.06528e-38 t=58
bing huo qu 	并获取	c=1 d=5.27741e-11 t=58
bing ji 	并集	c=2 d=1.92344e-10 t=58
bing ji suan 	并计算	c=1 d=6.57249e-34 t=58
bing jia 	病假	c=7 d=0.574072 t=58
bing jia ai 	冰家爱	c=1 d=0.571209 t=58
bing jia shang 	并加上	c=1 d=1.68197e-29 t=58
bing jiang 	并将	c=6 d=0.0347021 t=58
bing jiao 	禀教	c=1 d=7.78643e-28 t=58
bing jin xin 	并金心	c=1 d=0.276651 t=58
bing jin xing 	并进行	c=5 d=0.524678 t=58
bing li 	病例	c=1 d=0.000247277 t=58
bing mei you 	并没有	c=19 d=0.0916297 t=58
bing qi 	病起	c=1 d=3.43885e-31 t=58
bing qie 	并且	c=23 d=0.57695 t=58
bing shan chu 	并删除	c=1 d=2.43637e-06 t=58
bing shu chu 	并输出	c=1 d=9.90997e-71 t=58
bing tong ji 	并统计	c=1 d=6.77287e-05 t=58
bing tui dong 	并推动	c=1 d=3.68005e-05 t=58
bing tuo 	冰坨	c=1 d=0.697676 t=58
bing wei 	并未	c=2 d=2.26033e-06 t=58
bing xing 	并行	c=13 d=4.57845e-16 t=58
bing zai 	并在	c=4 d=0.0136366 t=58
bing zhi jie 	并直接	c=1 d=2.48847e-49 t=58
bo 	博	c=1 d=1.33893e-22 t=58
bo 	波	c=7 d=0.000255007 t=58
bo bao 	播报	c=2 d=0.0293049 t=58
bo bi 	博比	c=1 d=2.13937e-06 t=58
bo bi 	波比	c=4 d=0.000172869 t=58
bo bo 	伯伯	c=2 d=2.1287e-06 t=58
bo bo 	波波	c=2 d=1.30664e-80 t=58
bo dong 	波动	c=3 d=1.14789e-05 t=58
bo e 	薄恶	c=6 d=0.25284 t=58
bo fang 	伯方	c=1 d=1.81674e-24 t=58
bo fang 	播放	c=2 d=1.87889e-09 t=58
bo fang ke 	播放课	c=2 d=3.78607e-08 t=58
bo fang qi 	播放器	c=1 d=0.0417941 t=58
bo fu 	伯父	c=1 d=2.40534e-61 t=58
bo hao 	拨号	c=1 d=0.0368832 t=58
bo jin 	铂金	c=2 d=1.2468e-28 t=58
bo ruo 	薄弱	c=17 d=0.0753718 t=58
bo ruo dian 	薄弱点	c=1 d=0.084163 t=58
bo ruo zhi shi dian 	薄弱知识点	c=2 d=8.35697e-07 t=58
bo shi 	博士	c=2 d=1.29986e-18 t=58
bo shi 	博时	c=1 d=6.38606e-19 t=58
bo xing 	波性	c=1 d=7.4773e-22 t=58
bo zhu 	博主	c=1 d=1.06495e-05 t=58
bo zi 	脖子	c=1 d=5.91033e-20 t=58
bu 	不	c=279 d=0.867599 t=58
bu 	步	c=2 d=6.56243e-16 t=58
bu 	补	c=2 d=1.2577e-21 t=58
bu 	部	c=1 d=0.105928 t=58
bu an quan 	不安全	c=2 d=5.20415e-23 t=58
bu ba 	不把	c=1 d=2.29957e-32 t=58
bu ban 	不搬	c=2 d=6.28563e-10 t=58
bu ban jia 	不搬加	c=2 d=7.33822e-07 t=58
bu bang ta 	不帮他	c=1 d=3.05372e-16 t=58
bu bao 	不包	c=1 d=7.52654e-11 t=58
bu bao 	不报	c=0 d=0.00270518 t=58
bu bao cuo 	不报错	c=4 d=0.0169075 t=58
bu bao han 	不包含	c=4 d=0.188247 t=58
bu bao he 	不饱和	c=11 d=0.0018734 t=58
bu bao le 	不报了	c=1 d=0.0314298 t=58
bu bao lu 	不暴露	c=1 d=1.24625e-31 t=58
bu bao xi wang 	不报希望	c=1 d=0.0271874 t=58
bu bao zheng 	不保证	c=2 d=2.60762e-11 t=58
bu bei 	不被	c=3 d=0.00212284 t=58
bu bi 	不必	c=2 d=1.79744e-16 t=58
bu bi ni 	不必你	c=1 d=4.37015e-27 t=58
bu bi yao 	不必要	c=2 d=9.17225e-32 t=58
bu bian 	不变	c=11 d=0.166127 t=58
bu bian geng 	不变更	c=1 d=1.38809e-05 t=58
bu bian li 	不遍历	c=1 d=4.18226e-10 t=58
bu bian yi 	不便宜	c=1 d=1.86533e-11 t=58
bu bu bu 	不不不	c=5 d=8.96444e-09 t=58
bu cai shi 	不才是	c=1 d=4.71292e-33 t=58
bu cai yong 	不采用	c=1 d=3.83076e-36 t=58
bu can jia 	不参加	c=0 d=0.0810584 t=58
bu cang 	补仓	c=1 d=0.0578443 t=58
bu ce shi 	不测试	c=4 d=3.0057e-06 t=58
bu cha 	不差	c=1 d=2.54756e-31 t=58
bu cha 	不查	c=1 d=4.11565e-27 t=58
bu cha ru 	不插入	c=2 d=1.77345e-05 t=58
bu chang 	补偿	c=11 d=0.00481917 t=58
bu chang yong 	不常用	c=1 d=3.24421e-22 t=58
bu chao gang 	不超钢	c=1 d=5.09503e-09 t=58
bu chao guo 	不超过	c=4 d=7.15825e-09 t=58
bu cheng 	不成	c=1 d=5.43628e-08 t=58
bu cheng gong 	不成功	c=3 d=0.0152222 t=58
bu cheng ren 	不承认	c=2 d=0.0775298 t=58
bu chi 	不吃	c=1 d=5.70316e-13 t=58
bu chi guan 	不齿冠	c=1 d=3.99402e-27 t=58
bu chi hui 	不吃灰	c=1 d=5.73175e-12 t=58
bu chi le 	不吃了	c=1 d=7.56041e-05 t=58
bu chong 	补充	c=43 d=0.865643 t=58
bu chong dian 	不充电	c=1 d=3.76142e-27 t=58
bu chong fu 	不重复	c=3 d=2.68657e-09 t=58
bu chong tu 	不冲突	c=2 d=1.37273e-13 t=58
bu chu 	不出	c=11 d=0.631719 t=58
bu chu cuo 	不出错	c=1 d=7.67598e-07 t=58
bu chu lai 	不出来	c=14 d=0.0582748 t=58
bu chu lai de 	不出来的	c=1 d=9.6259e-23 t=58
bu chu lai le 	不出来了	c=1 d=1.29222e-16 t=58
bu chu le 	不出了	c=1 d=3.45951e-72 t=58
bu chu li 	不处理	c=5 d=1.74845e-24 t=58
bu chu qu 	不出去	c=4 d=4.63328e-09 t=58
bu chu xian 	不出现	c=3 d=0.00191125 t=58
bu chu yi wai 	不出意外	c=1 d=0.00775048 t=58
bu chuan 	不传	c=17 d=0.235746 t=58
bu chuan 	不穿	c=1 d=8.02766e-34 t=58
bu chuan de 	不传的	c=2 d=3.19265e-10 t=58
bu chuan ye xing 	不传也行	c=1 d=3.81762e-25 t=58
bu chuo 	不辍	c=9 d=0.666977 t=58
bu ci 	不辞	c=0 d=0.0955997 t=58
bu cong 	不从	c=1 d=2.98788e-83 t=58
bu cong chong 	不从重	c=1 d=1.03112e-37 t=58
bu cun 	不存	c=1 d=8.17173e-08 t=58
bu cun chu 	不存储	c=3 d=0.715338 t=58
bu cun zai 	不存在	c=21 d=0.0544757 t=58
bu cuo 	不错	c=8 d=4.87519e-15 t=58
bu da 	不大	c=95 d=3.53888 t=58
bu da 	不打	c=1 d=0.873716 t=58
bu da ba 	不大吧	c=2 d=1.43773e-19 t=58
bu da biao 	不达标	c=1 d=7.43495e-14 t=58
bu da de 	不大的	c=1 d=5.59023e-12 t=58
bu da dian 	不打点	c=1 d=0.00227676 t=58
bu da dui 	不大对	c=7 d=0.913931 t=58
bu da dui 	不搭对	c=18 d=0.000319102 t=58
bu da dui a 	不搭对啊	c=1 d=6.30404e-14 t=58
bu da dui ba 	不大对吧	c=2 d=4.8725e-13 t=58
bu da hao 	不大好	c=1 d=6.01621e-23 t=58
bu da he li 	不大合理	c=1 d=1.86908e-64 t=58
bu da kai 	不打开	c=2 d=0.00220948 t=58
bu da le 	不打了	c=2 d=4.60939e-07 t=58
bu da ne yu 	不大呢于	c=1 d=5.38952e-23 t=58
bu da xing 	不大性	c=21 d=0.00465422 t=58
bu da xing 	不大行	c=2 d=2.40672e-09 t=58
bu da xing ba 	不大兴霸	c=1 d=1.8496e-29 t=58
bu dai 	不带	c=8 d=0.00456197 t=58
bu dai biao 	不代表	c=6 d=5.64353e-06 t=58
bu dai shang 	不带上	c=1 d=0.00202943 t=58
bu dai tu 	不带图	c=1 d=1.3097e-09 t=58
bu dai wo 	不带我	c=4 d=2.01615e-14 t=58
bu dao 	不到	c=37 d=0.335258 t=58
bu dao de 	不到的	c=3 d=1.39286e-16 t=58
bu dao de 	不道德	c=1 d=1.08794e-21 t=58
bu dao wei 	不到位	c=1 d=1.77985e-18 t=58
bu de 	不得	c=5 d=0.321422 t=58
bu de bu 	不得不	c=1 d=1.32723e-07 t=58
bu dei 	不得	c=40 d=0.0956352 t=58
bu dei bu shuo 	不得不说	c=1 d=6.64307e-42 t=58
bu dei kan 	不得看	c=1 d=8.77619e-24 t=58
bu dei qu 	不得去	c=3 d=0.0015415 t=58
bu dei shi 	不得是	c=2 d=1.75336e-18 t=58
bu dei wen wen 	不得问问	c=1 d=2.90331e-10 t=58
bu dei you 	不得有	c=1 d=3.18386e-07 t=58
bu dei zou 	不得走	c=1 d=6.85865e-06 t=58
bu den yu 	不㩐于	c=1 d=3.70416e-23 t=58
bu deng hao 	不等号	c=1 d=4.49912e-75 t=58
bu deng shi 	不等式	c=17 d=6.79272e-10 t=58
bu deng wo 	不等我	c=1 d=4.31536e-55 t=58
bu deng yu 	不等于	c=5 d=4.55252e-08 t=58
bu deng zhe 	不等着	c=1 d=2.63929e-06 t=58
bu dian 	不点	c=1 d=0.0402524 t=58
bu dian diao de 	不点掉的	c=1 d=2.65885e-34 t=58
bu dian ge 	不点个	c=1 d=0.404542 t=58
bu dian le 	不点了	c=1 d=0.000269215 t=58
bu diao 	不掉	c=4 d=0.179964 t=58
bu diao yong 	不调用	c=3 d=3.4681e-13 t=58
bu die dai 	不迭代	c=2 d=1.42788e-14 t=58
bu ding 	不定	c=3 d=2.2106e-09 t=58
bu diu 	不丢	c=1 d=8.67704e-08 t=58
bu dong 	不动	c=6 d=0.0106188 t=58
bu dong 	不懂	c=43 d=0.0279456 t=58
bu dong le 	不动了	c=2 d=1.71953e-11 t=58
bu dong ma 	不懂吗	c=1 d=3.12996e-12 t=58
bu dou 	布兜	c=2 d=4.4501e-05 t=58
bu dou fa 	不都发	c=1 d=7.59523e-59 t=58
bu dou hui 	不都会	c=1 d=2.81597e-33 t=58
bu dou lai 	不都来	c=1 d=1.20893e-85 t=58
bu dou shi 	不都是	c=18 d=0.794534 t=58
bu dou yao 	不都要	c=1 d=5.5796e-19 t=58
bu dou you 	不都有	c=1 d=3.33154e-11 t=58
bu du chu lai 	不读出来	c=1 d=6.00374e-28 t=58
bu duan 	不断	c=8 d=0.000674186 t=58
bu dui 	不对	c=68 d=0.599753 t=58
bu dui a 	不对啊	c=2 d=4.88594e-16 t=58
bu dui ba 	不对吧	c=7 d=2.94769e-12 t=58
bu dui de 	不对的	c=1 d=1.05525e-15 t=58
bu dui jie 	不对接	c=1 d=1.94079e-07 t=58
bu dui jin 	不对劲	c=7 d=1.20093e-07 t=58
bu duo 	不多	c=18 d=0.980199 t=58
bu duo de 	不多的	c=1 d=4.64449e-08 t=58
bu duo jiang le 	不多讲了	c=1 d=0.000483239 t=58
bu duo le 	不多了	c=1 d=5.60053e-63 t=58
bu duo yu 	不多于	c=1 d=1.47799e-08 t=58
bu en 	布恩	c=0 d=4.99329e-08 t=58
bu en na ge 	布恩那个	c=2 d=1.9722e-06 t=58
bu fa song 	不发送	c=1 d=0.878095 t=58
bu fan hui 	不返回	c=1 d=5.58055e-21 t=58
bu fan hui de ma 	不返回的吗	c=1 d=9.30431e-35 t=58
bu fan zheng 	不反正	c=1 d=6.91675e-17 t=58
bu fang bian 	不方便	c=2 d=0.140858 t=58
bu fang jia 	不放假	c=1 d=1.82367e-10 t=58
bu fang xin 	不放心	c=1 d=5.12057e-09 t=58
bu fen 	不分	c=1 d=1.21672e-43 t=58
bu fen 	部分	c=49 d=1.63189 t=58
bu fu he 	不符合	c=13 d=0.101267 t=58
bu fu kuan 	不付款	c=1 d=6.90712e-30 t=58
bu fu qian 	不付钱	c=1 d=4.20094e-33 t=58
bu fu xi 	不复习	c=1 d=3.8348e-19 t=58
bu fu yong 	不复用	c=1 d=1.19555e-13 t=58
bu fu zui 	不服罪	c=0 d=9.62691e-84 t=58
bu gai 	不改	c=4 d=3.5898e-08 t=58
bu gai 	不该	c=9 d=0.170465 t=58
bu gai bian 	不改变	c=3 d=2.51479e-10 t=58
bu gai cun 	不该存	c=1 d=1.47824e-10 t=58
bu gai gan 	不该干	c=1 d=9.16765e-08 t=58
bu gai shi 	不该是	c=1 d=2.76689e-32 t=58
bu gai ta men 	不改他们	c=1 d=3.60779e-07 t=58
bu gai you 	不该有	c=1 d=1.73644e-51 t=58
bu gai zao 	不改造	c=1 d=8.2637e-22 t=58
bu gan 	不干	c=0 d=1.86882e-34 t=58
bu gan 	不敢	c=3 d=2.49203e-07 t=58
bu gan huo 	不干活	c=2 d=8.79591e-21 t=58
bu gan ma 	不干嘛	c=2 d=2.08258e-13 t=58
bu gan zhi 	不感知	c=15 d=8.12493e-05 t=58
bu gan zhi de 	不感知的	c=1 d=6.06718e-34 t=58
bu gao 	不搞	c=2 d=4.60454e-24 t=58
bu gao 	不高	c=16 d=0.0417941 t=58
bu gao jing 	不告警	c=1 d=0.00168667 t=58
bu gao su 	不告诉	c=3 d=0.00245409 t=58
bu gei 	不给	c=2 d=3.14074e-23 t=58
bu gei 	补给	c=1 d=7.79306e-38 t=58
bu gen 	不跟	c=1 d=7.64159e-13 t=58
bu geng gai 	不更改	c=1 d=3.00611e-37 t=58
bu geng xin 	不更新	c=7 d=0.0958472 t=58
bu geng xin le 	不更新了	c=1 d=0.00486835 t=58
bu gou 	不够	c=60 d=0.726149 t=58
bu gou duo 	不够多	c=1 d=1.90198e-34 t=58
bu gou gao 	不够高	c=2 d=3.07217e-28 t=58
